Timestamp,DroneID,Location,TaskType,TaskDuration(mins),Status,EdgeNode,BlockchainValidated,BatteryLevel(%),Payload(kg)
2025-01-01 00:49:00,DRONE_0039,Sector-B,Surveillance,12,Failed,EdgeNode_3,No,39,3.58
2025-01-01 00:50:00,DRONE_0018,Sector-D,Traffic Monitoring,38,Completed,EdgeNode_5,No,35,3.64
2025-01-01 00:51:00,DRONE_0004,Sector-A,Mapping,107,Completed,EdgeNode_2,Yes,97,2.86
2025-01-01 00:52:00,DRONE_0089,Sector-D,Surveillance,53,Completed,EdgeNode_5,No,67,3.53
2025-01-01 00:53:00,DRONE_0060,Sector-A,Traffic Monitoring,100,In Progress,EdgeNode_3,No,51,3.23
2025-01-01 00:54:00,DRONE_0014,Sector-D,Mapping,62,In Progress,EdgeNode_5,No,51,0.67
2025-01-01 00:55:00,DRONE_0009,Sector-B,Delivery,79,Completed,EdgeNode_4,Yes,72,4.5
2025-01-01 00:56:00,DRONE_0090,Sector-C,Mapping,51,Failed,EdgeNode_2,Yes,72,3.15
2025-01-01 00:57:00,DRONE_0053,Sector-D,Delivery,29,Pending,EdgeNode_3,Yes,21,3.67
2025-01-01 00:58:00,DRONE_0002,Sector-A,Surveillance,7,Failed,EdgeNode_2,No,76,1.78
2025-01-01 00:59:00,DRONE_0084,Sector-C,Mapping,49,Pending,EdgeNode_4,Yes,41,4.6
2025-01-01 01:00:00,DRONE_0092,Sector-A,Emergency Response,118,Completed,EdgeNode_3,No,71,2.56
2025-01-01 01:01:00,DRONE_0060,Sector-B,Emergency Response,56,In Progress,EdgeNode_3,Yes,77,3.43
2025-01-01 01:02:00,DRONE_0071,Sector-C,Emergency Response,100,In Progress,EdgeNode_2,Yes,53,4.77
2025-01-01 01:03:00,DRONE_0044,Sector-A,Emergency Response,103,Pending,EdgeNode_5,Yes,90,4.59
2025-01-01 01:04:00,DRONE_0008,Sector-D,Emergency Response,100,Completed,EdgeNode_5,No,36,3.26
2025-01-01 01:05:00,DRONE_0047,Sector-B,Delivery,38,In Progress,EdgeNode_1,No,91,0.91
2025-01-01 01:06:00,DRONE_0035,Sector-B,Mapping,105,Completed,EdgeNode_1,Yes,42,4.76
2025-01-01 01:07:00,DRONE_0078,Sector-B,Surveillance,73,Completed,EdgeNode_3,Yes,52,4.92
2025-01-01 01:08:00,DRONE_0081,Sector-D,Emergency Response,113,Pending,EdgeNode_2,No,48,0.61
2025-01-01 01:09:00,DRONE_0036,Sector-D,Emergency Response,96,Completed,EdgeNode_3,No,38,2.31
2025-01-01 01:10:00,DRONE_0050,Sector-C,Surveillance,96,Completed,EdgeNode_2,No,88,2.79
2025-01-01 01:11:00,DRONE_0004,Sector-D,Surveillance,12,Pending,EdgeNode_4,No,56,0.55
2025-01-01 01:12:00,DRONE_0002,Sector-C,Emergency Response,31,In Progress,EdgeNode_1,Yes,45,1.03
2025-01-01 01:13:00,DRONE_0006,Sector-B,Delivery,84,Failed,EdgeNode_3,Yes,43,2.73
2025-01-01 01:14:00,DRONE_0054,Sector-C,Surveillance,67,Completed,EdgeNode_4,Yes,73,4.82
2025-01-01 01:15:00,DRONE_0004,Sector-A,Mapping,86,Pending,EdgeNode_5,No,40,0.24
2025-01-01 01:16:00,DRONE_0054,Sector-B,Mapping,29,In Progress,EdgeNode_1,No,29,4.57
2025-01-01 01:17:00,DRONE_0093,Sector-B,Delivery,62,Completed,EdgeNode_2,Yes,61,4.5
2025-01-01 01:18:00,DRONE_0063,Sector-C,Traffic Monitoring,52,Failed,EdgeNode_5,Yes,48,4.3
2025-01-01 01:19:00,DRONE_0018,Sector-B,Delivery,5,In Progress,EdgeNode_5,Yes,76,1.95
2025-01-01 01:20:00,DRONE_0090,Sector-D,Emergency Response,12,Pending,EdgeNode_4,Yes,54,2.51
2025-01-01 01:21:00,DRONE_0044,Sector-A,Traffic Monitoring,25,Completed,EdgeNode_3,Yes,47,2.08
2025-01-01 01:22:00,DRONE_0034,Sector-C,Emergency Response,102,Pending,EdgeNode_3,No,31,4.74
2025-01-01 01:23:00,DRONE_0074,Sector-C,Mapping,92,Failed,EdgeNode_4,Yes,77,2.65
2025-01-01 01:24:00,DRONE_0062,Sector-B,Surveillance,105,Failed,EdgeNode_5,No,63,0.5
2025-01-01 01:25:00,DRONE_0100,Sector-D,Emergency Response,94,Pending,EdgeNode_1,No,26,1.44
2025-01-01 01:26:00,DRONE_0014,Sector-B,Mapping,115,Completed,EdgeNode_5,No,35,2.36
2025-01-01 01:27:00,DRONE_0095,Sector-B,Delivery,82,Pending,EdgeNode_4,Yes,54,4.77
2025-01-01 01:28:00,DRONE_0048,Sector-C,Emergency Response,33,In Progress,EdgeNode_5,No,26,2.89
2025-01-01 01:29:00,DRONE_0015,Sector-B,Mapping,34,Pending,EdgeNode_5,Yes,33,3.51
2025-01-01 01:30:00,DRONE_0072,Sector-A,Surveillance,7,Failed,EdgeNode_5,Yes,78,0.53
2025-01-01 01:31:00,DRONE_0078,Sector-B,Emergency Response,11,Completed,EdgeNode_5,No,81,4.4
2025-01-01 01:32:00,DRONE_0087,Sector-B,Mapping,104,Completed,EdgeNode_1,Yes,93,2.74
2025-01-01 01:33:00,DRONE_0062,Sector-C,Emergency Response,15,Failed,EdgeNode_2,No,85,4.61
2025-01-01 01:34:00,DRONE_0040,Sector-B,Surveillance,36,Failed,EdgeNode_2,Yes,41,2.28
2025-01-01 01:35:00,DRONE_0085,Sector-D,Emergency Response,63,In Progress,EdgeNode_3,Yes,35,3.45
2025-01-01 01:36:00,DRONE_0080,Sector-C,Emergency Response,16,Failed,EdgeNode_2,No,94,2.41
2025-01-01 01:37:00,DRONE_0082,Sector-B,Mapping,83,Failed,EdgeNode_2,No,62,0.8
2025-01-01 01:38:00,DRONE_0053,Sector-A,Traffic Monitoring,42,Failed,EdgeNode_2,Yes,39,1.43
2025-01-01 01:39:00,DRONE_0024,Sector-A,Emergency Response,28,Completed,EdgeNode_5,No,29,0.43
2025-01-01 01:40:00,DRONE_0026,Sector-C,Traffic Monitoring,69,Failed,EdgeNode_5,No,38,2.26
2025-01-01 01:41:00,DRONE_0089,Sector-C,Delivery,22,Pending,EdgeNode_1,Yes,31,3.28
2025-01-01 01:42:00,DRONE_0060,Sector-B,Emergency Response,50,Pending,EdgeNode_5,No,29,1.29
2025-01-01 01:43:00,DRONE_0041,Sector-D,Traffic Monitoring,60,Completed,EdgeNode_5,No,90,2.5
2025-01-01 01:44:00,DRONE_0029,Sector-B,Delivery,67,In Progress,EdgeNode_2,Yes,75,2.35
2025-01-01 01:45:00,DRONE_0015,Sector-A,Mapping,11,In Progress,EdgeNode_1,No,30,2.71
2025-01-01 01:46:00,DRONE_0045,Sector-D,Emergency Response,110,Completed,EdgeNode_1,Yes,99,1.0
2025-01-01 01:47:00,DRONE_0065,Sector-D,Mapping,109,Pending,EdgeNode_2,No,80,2.72
2025-01-01 01:48:00,DRONE_0089,Sector-D,Delivery,70,Completed,EdgeNode_2,Yes,57,1.88
2025-01-01 01:49:00,DRONE_0071,Sector-B,Mapping,44,Failed,EdgeNode_1,No,36,1.5
2025-01-01 01:50:00,DRONE_0009,Sector-A,Mapping,58,Completed,EdgeNode_4,Yes,73,2.97
2025-01-01 01:51:00,DRONE_0088,Sector-C,Surveillance,35,In Progress,EdgeNode_2,Yes,64,0.83
2025-01-01 01:52:00,DRONE_0001,Sector-B,Delivery,101,Pending,EdgeNode_2,Yes,44,4.51
2025-01-01 01:53:00,DRONE_0008,Sector-C,Mapping,56,In Progress,EdgeNode_1,No,50,4.68
2025-01-01 01:54:00,DRONE_0088,Sector-D,Traffic Monitoring,98,In Progress,EdgeNode_4,Yes,84,3.34
2025-01-01 01:55:00,DRONE_0063,Sector-D,Delivery,35,Pending,EdgeNode_4,Yes,58,1.59
2025-01-01 01:56:00,DRONE_0011,Sector-B,Surveillance,38,Failed,EdgeNode_3,No,39,3.17
2025-01-01 01:57:00,DRONE_0081,Sector-A,Emergency Response,11,Pending,EdgeNode_4,Yes,92,3.05
2025-01-01 01:58:00,DRONE_0008,Sector-D,Mapping,93,Pending,EdgeNode_2,Yes,62,2.02
2025-01-01 01:59:00,DRONE_0035,Sector-C,Traffic Monitoring,20,Completed,EdgeNode_5,Yes,85,1.51
2025-01-01 02:00:00,DRONE_0035,Sector-C,Surveillance,26,Pending,EdgeNode_1,Yes,20,0.93
2025-01-01 02:01:00,DRONE_0033,Sector-B,Delivery,104,Completed,EdgeNode_2,No,74,1.17
2025-01-01 02:02:00,DRONE_0005,Sector-C,Mapping,57,In Progress,EdgeNode_1,No,70,3.3
2025-01-01 02:03:00,DRONE_0041,Sector-A,Surveillance,95,Pending,EdgeNode_4,No,24,4.44
2025-01-01 02:04:00,DRONE_0028,Sector-D,Surveillance,21,Failed,EdgeNode_1,Yes,31,1.99
2025-01-01 02:05:00,DRONE_0007,Sector-C,Traffic Monitoring,8,Completed,EdgeNode_2,No,33,0.7
2025-01-01 02:06:00,DRONE_0073,Sector-C,Emergency Response,65,Completed,EdgeNode_5,Yes,79,0.16
2025-01-01 02:07:00,DRONE_0072,Sector-D,Emergency Response,103,Failed,EdgeNode_2,Yes,59,2.09
2025-01-01 02:08:00,DRONE_0012,Sector-B,Emergency Response,109,Completed,EdgeNode_3,No,28,1.24
2025-01-01 02:09:00,DRONE_0034,Sector-C,Delivery,90,Completed,EdgeNode_1,Yes,61,1.68
2025-01-01 02:10:00,DRONE_0033,Sector-B,Surveillance,115,Failed,EdgeNode_2,Yes,61,1.28
2025-01-01 02:11:00,DRONE_0048,Sector-B,Delivery,56,In Progress,EdgeNode_4,No,52,3.35
2025-01-01 02:12:00,DRONE_0023,Sector-C,Surveillance,39,Pending,EdgeNode_4,No,44,3.23
2025-01-01 02:13:00,DRONE_0062,Sector-A,Traffic Monitoring,48,Pending,EdgeNode_2,Yes,97,4.57
2025-01-01 02:14:00,DRONE_0088,Sector-B,Traffic Monitoring,19,Pending,EdgeNode_3,Yes,28,3.53
2025-01-01 02:15:00,DRONE_0037,Sector-C,Delivery,65,Pending,EdgeNode_1,Yes,63,0.91
2025-01-01 02:16:00,DRONE_0099,Sector-B,Delivery,108,Pending,EdgeNode_3,Yes,77,3.78
2025-01-01 02:17:00,DRONE_0044,Sector-D,Traffic Monitoring,48,Pending,EdgeNode_5,No,44,0.99
2025-01-01 02:18:00,DRONE_0086,Sector-A,Mapping,25,Completed,EdgeNode_2,No,51,2.84
2025-01-01 02:19:00,DRONE_0091,Sector-A,Emergency Response,81,Pending,EdgeNode_3,Yes,41,0.48
2025-01-01 02:20:00,DRONE_0035,Sector-D,Emergency Response,51,Completed,EdgeNode_5,No,74,0.33
2025-01-01 02:21:00,DRONE_0065,Sector-D,Traffic Monitoring,79,Failed,EdgeNode_3,Yes,80,2.37
2025-01-01 02:22:00,DRONE_0099,Sector-B,Emergency Response,53,In Progress,EdgeNode_5,No,76,0.61
2025-01-01 02:23:00,DRONE_0047,Sector-D,Mapping,57,Completed,EdgeNode_4,No,96,1.6
2025-01-01 02:24:00,DRONE_0078,Sector-A,Mapping,31,In Progress,EdgeNode_4,Yes,80,1.76
2025-01-01 02:25:00,DRONE_0003,Sector-D,Surveillance,35,Failed,EdgeNode_2,No,86,3.87
2025-01-01 02:26:00,DRONE_0001,Sector-C,Delivery,48,Pending,EdgeNode_3,Yes,94,1.73
2025-01-01 02:27:00,DRONE_0005,Sector-C,Emergency Response,36,In Progress,EdgeNode_4,No,21,2.52
2025-01-01 02:28:00,DRONE_0090,Sector-B,Mapping,34,In Progress,EdgeNode_1,No,76,3.89
2025-01-01 02:29:00,DRONE_0014,Sector-A,Delivery,22,Failed,EdgeNode_4,Yes,92,1.1
2025-01-01 02:30:00,DRONE_0027,Sector-C,Delivery,67,Failed,EdgeNode_4,No,52,4.04
2025-01-01 02:31:00,DRONE_0009,Sector-D,Surveillance,20,Failed,EdgeNode_3,No,82,4.18
2025-01-01 02:32:00,DRONE_0079,Sector-C,Delivery,39,Completed,EdgeNode_5,Yes,35,4.95
2025-01-01 02:33:00,DRONE_0015,Sector-C,Delivery,66,Completed,EdgeNode_1,No,20,2.28
2025-01-01 02:34:00,DRONE_0090,Sector-B,Traffic Monitoring,13,In Progress,EdgeNode_1,No,83,1.92
2025-01-01 02:35:00,DRONE_0042,Sector-D,Surveillance,66,Failed,EdgeNode_5,Yes,88,3.54
2025-01-01 02:36:00,DRONE_0077,Sector-D,Surveillance,43,In Progress,EdgeNode_3,Yes,36,0.38
2025-01-01 02:37:00,DRONE_0051,Sector-D,Emergency Response,55,Pending,EdgeNode_4,No,59,0.29
2025-01-01 02:38:00,DRONE_0063,Sector-B,Delivery,105,Failed,EdgeNode_5,No,20,1.74
2025-01-01 02:39:00,DRONE_0096,Sector-D,Emergency Response,119,Completed,EdgeNode_1,Yes,32,3.67
2025-01-01 02:40:00,DRONE_0052,Sector-D,Mapping,14,Failed,EdgeNode_1,Yes,37,0.67
2025-01-01 02:41:00,DRONE_0096,Sector-C,Delivery,56,In Progress,EdgeNode_4,No,87,3.21
2025-01-01 02:42:00,DRONE_0004,Sector-C,Mapping,16,Completed,EdgeNode_4,No,33,1.42
2025-01-01 02:43:00,DRONE_0094,Sector-D,Traffic Monitoring,76,Pending,EdgeNode_2,Yes,24,3.29
2025-01-01 02:44:00,DRONE_0023,Sector-A,Delivery,66,Pending,EdgeNode_5,No,81,2.34
2025-01-01 02:45:00,DRONE_0015,Sector-A,Emergency Response,7,In Progress,EdgeNode_4,No,52,0.66
2025-01-01 02:46:00,DRONE_0043,Sector-D,Emergency Response,87,Failed,EdgeNode_2,Yes,45,1.31
2025-01-01 02:47:00,DRONE_0029,Sector-A,Delivery,15,Pending,EdgeNode_3,No,80,1.18
2025-01-01 02:48:00,DRONE_0036,Sector-B,Emergency Response,12,In Progress,EdgeNode_1,No,87,0.91
2025-01-01 02:49:00,DRONE_0013,Sector-C,Delivery,94,Completed,EdgeNode_5,Yes,49,2.39
2025-01-01 02:50:00,DRONE_0032,Sector-B,Surveillance,113,Completed,EdgeNode_3,No,81,4.78
2025-01-01 02:51:00,DRONE_0071,Sector-C,Emergency Response,27,In Progress,EdgeNode_5,No,81,3.32
2025-01-01 02:52:00,DRONE_0059,Sector-A,Delivery,14,Failed,EdgeNode_5,Yes,89,4.2
2025-01-01 02:53:00,DRONE_0086,Sector-A,Delivery,22,Failed,EdgeNode_4,Yes,76,4.91
2025-01-01 02:54:00,DRONE_0028,Sector-D,Emergency Response,80,Failed,EdgeNode_2,Yes,55,2.75
2025-01-01 02:55:00,DRONE_0066,Sector-A,Surveillance,43,Failed,EdgeNode_5,No,26,1.27
2025-01-01 02:56:00,DRONE_0042,Sector-A,Emergency Response,30,In Progress,EdgeNode_3,No,84,4.65
2025-01-01 02:57:00,DRONE_0045,Sector-D,Delivery,15,In Progress,EdgeNode_5,No,93,3.53
2025-01-01 02:58:00,DRONE_0062,Sector-D,Surveillance,14,Completed,EdgeNode_2,No,96,4.8
2025-01-01 02:59:00,DRONE_0057,Sector-C,Mapping,7,Completed,EdgeNode_1,Yes,60,3.29
2025-01-01 03:00:00,DRONE_0006,Sector-A,Traffic Monitoring,66,Failed,EdgeNode_5,Yes,51,3.9
2025-01-01 03:01:00,DRONE_0028,Sector-C,Emergency Response,75,Pending,EdgeNode_3,Yes,33,4.46
2025-01-01 03:02:00,DRONE_0028,Sector-C,Delivery,65,Pending,EdgeNode_1,No,52,3.82
2025-01-01 03:03:00,DRONE_0044,Sector-B,Surveillance,8,Completed,EdgeNode_1,Yes,49,2.86
2025-01-01 03:04:00,DRONE_0084,Sector-A,Surveillance,65,Completed,EdgeNode_4,No,92,2.41
2025-01-01 03:05:00,DRONE_0030,Sector-A,Mapping,108,In Progress,EdgeNode_4,No,25,4.13
2025-01-01 03:06:00,DRONE_0062,Sector-B,Emergency Response,12,Completed,EdgeNode_5,No,29,3.88
2025-01-01 03:07:00,DRONE_0075,Sector-C,Surveillance,106,Completed,EdgeNode_3,Yes,94,1.9
2025-01-01 03:08:00,DRONE_0092,Sector-A,Mapping,17,Failed,EdgeNode_4,No,39,2.54
2025-01-01 03:09:00,DRONE_0089,Sector-C,Delivery,16,Pending,EdgeNode_2,No,31,3.21
2025-01-01 03:10:00,DRONE_0062,Sector-B,Mapping,39,Pending,EdgeNode_2,Yes,41,0.24
2025-01-01 03:11:00,DRONE_0097,Sector-D,Emergency Response,106,In Progress,EdgeNode_1,Yes,95,1.31
2025-01-01 03:12:00,DRONE_0001,Sector-C,Mapping,58,Pending,EdgeNode_1,No,33,1.33
2025-01-01 03:13:00,DRONE_0027,Sector-A,Surveillance,55,Failed,EdgeNode_1,No,67,4.43
2025-01-01 03:14:00,DRONE_0062,Sector-D,Surveillance,47,Failed,EdgeNode_2,No,73,1.72
2025-01-01 03:15:00,DRONE_0077,Sector-C,Traffic Monitoring,104,In Progress,EdgeNode_4,Yes,55,2.77
2025-01-01 03:16:00,DRONE_0003,Sector-C,Mapping,115,Completed,EdgeNode_4,Yes,80,4.17
2025-01-01 03:17:00,DRONE_0070,Sector-D,Delivery,70,Completed,EdgeNode_5,Yes,74,1.37
2025-01-01 03:18:00,DRONE_0072,Sector-D,Emergency Response,19,Failed,EdgeNode_3,Yes,33,0.71
2025-01-01 03:19:00,DRONE_0027,Sector-D,Traffic Monitoring,53,In Progress,EdgeNode_2,Yes,21,4.75
2025-01-01 03:20:00,DRONE_0009,Sector-A,Mapping,38,Failed,EdgeNode_1,No,21,3.55
2025-01-01 03:21:00,DRONE_0062,Sector-A,Delivery,43,Pending,EdgeNode_3,No,80,0.97
2025-01-01 03:22:00,DRONE_0037,Sector-C,Traffic Monitoring,30,Pending,EdgeNode_1,No,25,4.12
2025-01-01 03:23:00,DRONE_0097,Sector-C,Surveillance,116,Failed,EdgeNode_3,No,44,3.96
2025-01-01 03:24:00,DRONE_0051,Sector-B,Emergency Response,73,Completed,EdgeNode_3,Yes,86,4.2
2025-01-01 03:25:00,DRONE_0044,Sector-A,Mapping,52,Pending,EdgeNode_4,Yes,42,1.45
2025-01-01 03:26:00,DRONE_0024,Sector-C,Delivery,93,In Progress,EdgeNode_5,No,92,2.3
2025-01-01 03:27:00,DRONE_0079,Sector-D,Surveillance,55,Completed,EdgeNode_5,No,47,3.5
2025-01-01 03:28:00,DRONE_0059,Sector-D,Traffic Monitoring,102,Pending,EdgeNode_1,Yes,44,2.01
2025-01-01 03:29:00,DRONE_0032,Sector-A,Emergency Response,115,Failed,EdgeNode_2,No,84,0.44
2025-01-01 03:30:00,DRONE_0096,Sector-D,Traffic Monitoring,8,Completed,EdgeNode_5,No,85,0.77
2025-01-01 03:31:00,DRONE_0088,Sector-B,Traffic Monitoring,102,Completed,EdgeNode_2,Yes,98,3.03
2025-01-01 03:32:00,DRONE_0052,Sector-C,Delivery,31,Pending,EdgeNode_1,No,62,1.94
2025-01-01 03:33:00,DRONE_0062,Sector-C,Surveillance,46,In Progress,EdgeNode_2,Yes,59,0.13
2025-01-01 03:34:00,DRONE_0058,Sector-C,Mapping,60,Pending,EdgeNode_3,No,99,3.86
2025-01-01 03:35:00,DRONE_0052,Sector-A,Delivery,97,Pending,EdgeNode_3,No,42,2.14
2025-01-01 03:36:00,DRONE_0012,Sector-D,Emergency Response,73,Pending,EdgeNode_1,No,68,1.64
2025-01-01 03:37:00,DRONE_0039,Sector-B,Traffic Monitoring,22,Pending,EdgeNode_2,Yes,27,3.6
2025-01-01 03:38:00,DRONE_0002,Sector-A,Emergency Response,65,Pending,EdgeNode_2,Yes,26,2.33
2025-01-01 03:39:00,DRONE_0003,Sector-C,Delivery,8,Failed,EdgeNode_1,Yes,40,3.5
2025-01-01 03:40:00,DRONE_0056,Sector-B,Delivery,5,Pending,EdgeNode_5,Yes,54,0.16
2025-01-01 03:41:00,DRONE_0081,Sector-C,Mapping,54,In Progress,EdgeNode_4,Yes,80,0.15
2025-01-01 03:42:00,DRONE_0059,Sector-C,Traffic Monitoring,88,Completed,EdgeNode_5,Yes,93,2.84
2025-01-01 03:43:00,DRONE_0002,Sector-A,Delivery,74,Failed,EdgeNode_4,No,87,4.91
2025-01-01 03:44:00,DRONE_0002,Sector-C,Emergency Response,24,In Progress,EdgeNode_2,No,49,1.43
2025-01-01 03:45:00,DRONE_0092,Sector-B,Mapping,24,Pending,EdgeNode_4,No,87,3.45
2025-01-01 03:46:00,DRONE_0054,Sector-C,Emergency Response,50,In Progress,EdgeNode_4,No,28,0.94
2025-01-01 03:47:00,DRONE_0087,Sector-D,Traffic Monitoring,31,Completed,EdgeNode_2,Yes,36,1.63
2025-01-01 03:48:00,DRONE_0096,Sector-C,Mapping,30,In Progress,EdgeNode_3,No,62,0.48
2025-01-01 03:49:00,DRONE_0097,Sector-A,Mapping,36,Pending,EdgeNode_4,Yes,76,4.42
2025-01-01 03:50:00,DRONE_0001,Sector-B,Mapping,14,Completed,EdgeNode_1,No,32,1.62
2025-01-01 03:51:00,DRONE_0019,Sector-A,Surveillance,86,Pending,EdgeNode_5,No,76,1.23
2025-01-01 03:52:00,DRONE_0002,Sector-D,Mapping,109,Pending,EdgeNode_2,Yes,45,3.68
2025-01-01 03:53:00,DRONE_0053,Sector-C,Emergency Response,16,Failed,EdgeNode_2,Yes,80,1.08
2025-01-01 03:54:00,DRONE_0044,Sector-A,Emergency Response,78,Completed,EdgeNode_4,No,81,1.28
2025-01-01 03:55:00,DRONE_0090,Sector-A,Traffic Monitoring,92,Completed,EdgeNode_3,Yes,38,0.61
2025-01-01 03:56:00,DRONE_0032,Sector-A,Delivery,28,Pending,EdgeNode_3,Yes,49,4.82
2025-01-01 03:57:00,DRONE_0070,Sector-A,Delivery,55,In Progress,EdgeNode_5,No,32,1.31
2025-01-01 03:58:00,DRONE_0032,Sector-D,Surveillance,42,Completed,EdgeNode_5,Yes,68,4.98
2025-01-01 03:59:00,DRONE_0068,Sector-D,Mapping,50,In Progress,EdgeNode_3,Yes,70,0.96
